iter	Passed	Remaining
406	6049	8813
407	6062	8796
408	6075	8779
409	6088	8761
410	6101	8743
411	6114	8726
412	6127	8709
413	6140	8691
414	6153	8674
415	6165	8656
416	6178	8637
417	6191	8620
418	6205	8604
419	6218	8587
420	6233	8573
421	6248	8558
422	6261	8540
423	6274	8524
424	6289	8509
425	6302	8492
426	6316	8476
427	6329	8459
428	6343	8443
429	6356	8426
430	6368	8407
431	6381	8390
432	6394	8372
433	6406	8355
434	6420	8338
435	6433	8321
436	6446	8305
437	6460	8289
438	6472	8271
439	6486	8255
440	6498	8237
441	6511	8220
442	6524	8203
443	6537	8186
444	6550	8169
445	6564	8153
446	6577	8136
447	6591	8121
448	6604	8105
449	6618	8089
450	6631	8072
451	6644	8055
452	6657	8039
453	6671	8024
454	6686	8008
455	6699	7992
456	6714	7978
457	6729	7963
458	6744	7949
459	6764	7941
460	6782	7930
461	6799	7918
462	6816	7905
463	6831	7891
464	6845	7876
465	6861	7862
466	6877	7849
467	6895	7837
468	6913	7827
469	6928	7813
470	6942	7797
471	6956	7781
472	6970	7765
473	6986	7753
474	7001	7738
475	7018	7726
476	7036	7715
477	7053	7703
478	7069	7688
479	7083	7674
480	7098	7658
481	7111	7643
482	7125	7627
483	7139	7611
484	7152	7594
485	7165	7577
486	7178	7561
487	7191	7545
488	7204	7529
489	7218	7513
490	7231	7496
491	7244	7480
492	7257	7463
493	7271	7447
494	7285	7432
495	7300	7418
496	7317	7405
497	7334	7393
498	7350	7379
499	7365	7365
500	7381	7352
501	7397	7339
502	7414	7325
503	7430	7312
504	7445	7298
505	7462	7285
506	7477	7271
507	7493	7257
508	7510	7244
509	7526	7231
510	7541	7217
511	7557	7203
512	7573	7189
513	7586	7173
514	7601	7158
515	7615	7143
516	7629	7128
517	7644	7113
518	7660	7099
519	7674	7084
520	7689	7069
521	7703	7054
522	7725	7045
523	7760	7049
524	7776	7036
525	7796	7025
526	7813	7013
527	7828	6998
528	7843	6983
529	7857	6968
530	7873	6954
531	7887	6938
532	7901	6923
533	7915	6907
534	7929	6891
535	7944	6877
536	7959	6862
537	7977	6850
538	7993	6836
539	8008	6821
540	8024	6808
541	8044	6797
542	8061	6784
543	8077	6770
544	8093	6757
545	8110	6743
546	8125	6729
547	8141	6714
548	8156	6700
549	8170	6685
550	8184	6669
551	8200	6655
552	8215	6640
553	8231	6626
554	8248	6613
555	8263	6598
556	8277	6583
557	8292	6568
558	8305	6552
559	8318	6536
560	8331	6520
561	8346	6504
562	8359	6488
563	8372	6472
564	8386	6456
565	8401	6441
566	8414	6426
567	8428	6410
568	8441	6394
569	8454	6377
570	8467	6361
571	8481	6346
572	8496	6331
573	8510	6315
574	8534	6308
575	8552	6295
576	8568	6281
577	8584	6267
578	8599	6253
579	8613	6237
580	8630	6224
581	8649	6211
582	8666	6198
583	8681	6184
584	8697	6169
585	8711	6154
586	8729	6141
587	8746	6128
588	8766	6117
589	8783	6103
590	8798	6088
591	8812	6073
592	8826	6057
593	8840	6042
594	8854	6027
595	8868	6011
596	8881	5995
597	8894	5978
598	8907	5963
599	8920	5947
600	8935	5932
601	8949	5916
602	8962	5900
603	8975	5884
604	8987	5868
605	9001	5852
606	9014	5836
607	9026	5819
608	9039	5803
609	9053	5788
610	9069	5773
611	9083	5758
612	9097	5743
613	9112	5728
614	9127	5713
615	9144	5700
616	9159	5685
617	9174	5670
618	9187	5655
619	9203	5640
620	9219	5626
621	9235	5612
622	9250	5597
623	9268	5585
624	9287	5572
625	9303	5558
626	9318	5543
627	9332	5528
628	9345	5512
629	9359	5496
630	9372	5481
631	9386	5465
632	9401	5450
633	9415	5435
634	9428	5419
635	9442	5404
636	9455	5388
637	9469	5372
638	9482	5357
639	9496	5341
640	9511	5326
641	9524	5311
642	9537	5295
643	9551	5279
644	9565	5264
645	9580	5250
646	9596	5235
647	9611	5221
648	9627	5206
649	9643	5192
650	9659	5178
651	9676	5164
652	9692	5150
653	9709	5136
654	9725	5122
655	9742	5108
656	9760	5095
657	9775	5080
658	9792	5066
659	9821	5059
660	9837	5045
661	9852	5030
662	9867	5015
663	9881	5000
664	9896	4985
665	9910	4970
666	9925	4955
667	9940	4940
668	9954	4925
669	9968	4909
670	9982	4894
671	9997	4879
672	10012	4865
673	10028	4850
674	10043	4835
675	10058	4820
676	10071	4805
677	10084	4789
678	10097	4773
679	10110	4758
680	10124	4742
681	10138	4727
682	10151	4711
683	10164	4696
684	10177	4680
685	10190	4664
686	10204	4649
687	10218	4633
688	10231	4618
689	10244	4602
690	10258	4587
691	10273	4572
692	10285	4556
693	10298	4540
694	10310	4524
695	10323	4509
696	10336	4493
697	10349	4477
698	10363	4462
699	10374	4446
700	10387	4430
701	10400	4414
702	10412	4399
703	10427	4384
704	10442	4369
705	10457	4354
706	10473	4340
707	10487	4325
708	10499	4309
709	10514	4294
710	10527	4279
711	10538	4262
712	10551	4247
713	10566	4232
714	10587	4220
715	10604	4206
716	10618	4191
717	10633	4176
718	10649	4162
719	10666	4148
720	10681	4133
721	10697	4118
722	10716	4105
723	10730	4090
724	10744	4075
725	10762	4061
726	10777	4046
727	10790	4031
728	10804	4016
729	10819	4001
730	10833	3986
731	10847	3971
732	10861	3956
733	10875	3941
734	10889	3925
735	10902	3910
736	10916	3895
737	10930	3880
738	10941	3864
739	10951	3847
740	10963	3832
741	10978	3817
742	10994	3803
743	11006	3787
744	11020	3772
745	11037	3758
746	11051	3742
747	11066	3728
748	11081	3713
749	11094	3698
750	11109	3683
751	11123	3668
752	11136	3653
753	11150	3637
754	11165	3623
755	11179	3608
756	11200	3595
757	11239	3588
758	11260	3575
759	11277	3561
760	11295	3547
761	11311	3532
762	11332	3520
763	11346	3505
764	11364	3491
765	11377	3475
766	11392	3460
767	11406	3445
768	11423	3431
769	11438	3416
770	11453	3401
771	11468	3387
772	11484	3372
773	11498	3357
774	11514	3342
775	11530	3328
776	11546	3313
777	11560	3298
778	11576	3284
779	11591	3269
780	11605	3254
781	11620	3239
782	11634	3224
783	11650	3209
784	11665	3195
785	11681	3180
786	11695	3165
787	11712	3151
788	11727	3136
789	11742	3121
790	11755	3106
791	11771	3091
792	11785	3076
793	11800	3061
794	11816	3047
795	11832	3032
796	11844	3016
797	11859	3002
798	11874	2987
799	11889	2972
800	11902	2957
801	11917	2942
802	11932	2927
803	11948	2912
804	11963	2898
805	11976	2882
806	11992	2868
807	12006	2852
808	12021	2838
809	12032	2822
810	12046	2807
811	12059	2792
812	12072	2776
813	12085	2761
814	12098	2746
815	12112	2731
816	12125	2715
817	12139	2700
818	12152	2685
819	12165	2670
820	12178	2655
821	12191	2640
822	12204	2624
823	12215	2609
824	12228	2593
825	12241	2578
826	12253	2563
827	12264	2547
828	12274	2531
829	12285	2516
830	12295	2500
831	12307	2485
832	12318	2469
833	12329	2454
834	12343	2439
835	12353	2423
836	12365	2408
837	12376	2392
838	12387	2377
839	12399	2361
840	12411	2346
841	12422	2331
842	12433	2315
843	12447	2300
844	12460	2285
845	12474	2270
846	12486	2255
847	12500	2240
848	12512	2225
849	12529	2211
850	12543	2196
851	12557	2181
852	12572	2166
853	12586	2151
854	12599	2136
855	12612	2121
856	12627	2107
857	12641	2092
858	12654	2077
859	12684	2064
860	12697	2049
861	12710	2034
862	12723	2019
863	12738	2005
864	12757	1991
865	12773	1976
866	12789	1961
867	12804	1947
868	12819	1932
869	12835	1917
870	12850	1903
871	12862	1888
872	12876	1873
873	12891	1858
874	12905	1843
875	12916	1828
876	12928	1813
877	12943	1798
878	12956	1783
879	12972	1768
880	12987	1754
881	13002	1739
882	13015	1724
883	13032	1710
884	13047	1695
885	13061	1680
886	13075	1665
887	13088	1650
888	13102	1635
889	13115	1621
890	13130	1606
891	13144	1591
892	13160	1576
893	13174	1562
894	13188	1547
895	13201	1532
896	13216	1517
897	13232	1503
898	13247	1488
899	13262	1473
900	13276	1458
901	13290	1443
902	13302	1429
903	13315	1414
904	13328	1399
905	13340	1384
906	13352	1369
907	13365	1354
908	13379	1339
909	13392	1324
910	13407	1309
911	13421	1295
912	13438	1280
913	13454	1265
914	13472	1251
915	13487	1236
916	13502	1222
917	13519	1207
918	13534	1192
919	13548	1178
920	13561	1163
921	13574	1148
922	13586	1133
923	13599	1118
924	13611	1103
925	13623	1088
926	13638	1073
927	13650	1059
928	13661	1044
929	13674	1029
930	13688	1014
931	13701	999
932	13715	984
933	13731	970
934	13746	955
935	13766	941
